variant,frame_index,mean_original_clean_delta,mean_composite_clean_delta,mean_original_survival,suspected_leak_pixels,suspected_leak_ratio
v44,680.0,9.877665289256198,7.040491276400368,0.6943868398666382,7636.0,0.026294765840220384
v46,680.0,9.877665289256198,7.088620293847567,0.6943063735961914,7681.0,0.026449724517906337
v49,680.0,9.877665289256198,7.029747474747475,0.6936476826667786,7691.0,0.026484159779614325
v44,690.0,10.637860422405877,7.016458907254362,0.7032336592674255,8253.0,0.028419421487603305
v46,690.0,10.637860422405877,6.987581496786042,0.7032728791236877,8275.0,0.02849517906336088
v49,690.0,10.637860422405877,7.015239898989899,0.7034786343574524,8261.0,0.028446969696969696
v44,700.0,10.892606749311295,7.29543044077135,0.6843473315238953,7959.0,0.02740702479338843
v46,700.0,10.892606749311295,7.258917584940313,0.6829761266708374,7956.0,0.027396694214876033
v49,700.0,10.892606749311295,7.294462809917356,0.6848719716072083,7970.0,0.027444903581267218
v44,710.0,10.636586317722681,7.2504350321395785,0.6883913278579712,7161.0,0.02465909090909091
v46,710.0,10.636586317722681,7.223587006427916,0.6867327690124512,7217.0,0.02485192837465565
v49,710.0,10.636586317722681,7.260104453627181,0.687849760055542,7171.0,0.0246935261707989
v44,720.0,10.99632116620753,7.199978191000918,0.6760607361793518,4523.0,0.015575068870523416
v46,720.0,10.99632116620753,7.1789485766758485,0.6749066710472107,4533.0,0.015609504132231404
v49,720.0,10.99632116620753,7.178085399449036,0.6748930215835571,4558.0,0.015695592286501376
v44,730.0,10.737879935720846,6.9340335169880625,0.6540641188621521,4740.0,0.016322314049586777
v46,730.0,10.737879935720846,6.898445821854912,0.6543290019035339,4774.0,0.016439393939393938
v49,730.0,10.737879935720846,6.92369375573921,0.6550952196121216,4803.0,0.01653925619834711
v44,740.0,10.90296717171717,6.825126262626262,0.669175386428833,3819.0,0.013150826446280992
v46,740.0,10.90296717171717,6.7841138659320475,0.6691524386405945,3797.0,0.013075068870523416
v49,740.0,10.90296717171717,6.789467401285584,0.6656655073165894,3815.0,0.013137052341597797
