variant,frame_index,mean_original_clean_delta,mean_composite_clean_delta,mean_original_survival,suspected_leak_pixels,suspected_leak_ratio
v44,690.0,16.09635168650794,10.117581845238096,0.7495611310005188,3534.0,0.026294642857142857
v46,690.0,16.09635168650794,10.08297619047619,0.7510214447975159,3547.0,0.02639136904761905
v49,690.0,16.09635168650794,10.107502480158729,0.7496097087860107,3574.0,0.026592261904761903
v44,695.0,16.38821676587302,10.768509424603174,0.7413057088851929,4172.0,0.031041666666666665
v46,695.0,16.38821676587302,10.723219246031745,0.7407544851303101,4157.0,0.030930059523809523
v49,695.0,16.38821676587302,10.755892857142857,0.739389181137085,4195.0,0.03121279761904762
v44,700.0,17.075200892857143,11.012135416666666,0.7205706834793091,3953.0,0.029412202380952383
v46,700.0,17.075200892857143,10.973425099206349,0.7216455936431885,3937.0,0.029293154761904763
v49,700.0,17.075200892857143,11.004796626984128,0.7214776277542114,3955.0,0.029427083333333333
v44,705.0,17.058911210317458,10.943075396825398,0.7207432389259338,3505.0,0.02607886904761905
v46,705.0,17.058911210317458,10.934449404761905,0.7229321002960205,3483.0,0.02591517857142857
v49,705.0,17.058911210317458,10.961183035714285,0.7218489646911621,3509.0,0.026108630952380953
v44,710.0,16.41027281746032,10.808680555555554,0.7227018475532532,2932.0,0.02181547619047619
v46,710.0,16.41027281746032,10.77985615079365,0.7230133414268494,2904.0,0.021607142857142856
v49,710.0,16.41027281746032,10.822145337301588,0.7215397357940674,2946.0,0.021919642857142856
v44,715.0,16.25217013888889,10.713204365079365,0.7065991163253784,1761.0,0.01310267857142857
v46,715.0,16.25217013888889,10.688970734126983,0.7044470906257629,1829.0,0.013608630952380952
v49,715.0,16.25217013888889,10.68766369047619,0.7041366696357727,1785.0,0.01328125
v44,720.0,16.695438988095237,10.413531746031747,0.6923509836196899,1425.0,0.010602678571428572
v46,720.0,16.695438988095237,10.387080853174602,0.6898878216743469,1457.0,0.010840773809523809
v49,720.0,16.695438988095237,10.35591517857143,0.6893096566200256,1442.0,0.010729166666666666
v44,725.0,16.96789930555556,10.56203373015873,0.6955236792564392,1978.0,0.014717261904761905
v46,725.0,16.96789930555556,10.529774305555554,0.6942482590675354,1977.0,0.014709821428571428
v49,725.0,16.96789930555556,10.554583333333333,0.6953246593475342,1988.0,0.014791666666666667
v44,730.0,16.223978174603175,10.18452628968254,0.6851885914802551,1584.0,0.011785714285714287
v46,730.0,16.223978174603175,10.13576140873016,0.6843234896659851,1508.0,0.011220238095238096
v49,730.0,16.223978174603175,10.157919146825396,0.685512125492096,1603.0,0.011927083333333333
