variant,frame_index,mean_original_clean_delta,mean_composite_clean_delta,mean_original_survival,suspected_leak_pixels,suspected_leak_ratio
v49,690.0,16.09635168650794,10.107502480158729,0.7496097087860107,3574.0,0.026592261904761903
v50,690.0,16.09635168650794,10.125429067460319,0.7511608600616455,3564.0,0.02651785714285714
v51,690.0,16.09635168650794,10.132068452380953,0.7532595992088318,3598.0,0.026770833333333334
v49,695.0,16.38821676587302,10.755892857142857,0.739389181137085,4195.0,0.03121279761904762
v50,695.0,16.38821676587302,10.766150793650793,0.7416137456893921,4188.0,0.031160714285714285
v51,695.0,16.38821676587302,10.745915178571428,0.7418217658996582,4176.0,0.031071428571428573
v49,700.0,17.075200892857143,11.004796626984128,0.7214776277542114,3955.0,0.029427083333333333
v50,700.0,17.075200892857143,11.021197916666667,0.722790539264679,3958.0,0.029449404761904763
v51,700.0,17.075200892857143,11.017735615079365,0.7220912575721741,3970.0,0.029538690476190475
v49,705.0,17.058911210317458,10.961183035714285,0.7218489646911621,3509.0,0.026108630952380953
v50,705.0,17.058911210317458,10.9801810515873,0.7229077219963074,3499.0,0.02603422619047619
v51,705.0,17.058911210317458,10.953065476190476,0.7218603491783142,3516.0,0.026160714285714287
v49,710.0,16.41027281746032,10.822145337301588,0.7215397357940674,2946.0,0.021919642857142856
v50,710.0,16.41027281746032,10.781917162698413,0.7210007309913635,2912.0,0.021666666666666667
v51,710.0,16.41027281746032,10.76358382936508,0.7204127311706543,2929.0,0.021793154761904764
v49,715.0,16.25217013888889,10.68766369047619,0.7041366696357727,1785.0,0.01328125
v50,715.0,16.25217013888889,10.672395833333333,0.7041639685630798,1823.0,0.013563988095238096
v51,715.0,16.25217013888889,10.659020337301587,0.7033119201660156,1813.0,0.013489583333333333
v49,720.0,16.695438988095237,10.35591517857143,0.6893096566200256,1442.0,0.010729166666666666
v50,720.0,16.695438988095237,10.36578869047619,0.6903156638145447,1494.0,0.011116071428571428
v51,720.0,16.695438988095237,10.342881944444446,0.6882643103599548,1445.0,0.010751488095238095
v49,725.0,16.96789930555556,10.554583333333333,0.6953246593475342,1988.0,0.014791666666666667
v50,725.0,16.96789930555556,10.53061011904762,0.6958491802215576,1991.0,0.014813988095238095
v51,725.0,16.96789930555556,10.528251488095238,0.6963456869125366,2048.0,0.015238095238095238
v49,730.0,16.223978174603175,10.157919146825396,0.685512125492096,1603.0,0.011927083333333333
v50,730.0,16.223978174603175,10.12811755952381,0.684026837348938,1517.0,0.01128720238095238
v51,730.0,16.223978174603175,10.15984375,0.6860531568527222,1542.0,0.011473214285714286
